,id,city,district,year,month,hour,weekday,injury_level,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude
180,49840,Berlin,7,2019,2,13,2,3,5,7,0,0,0,0,0,0,1,0,"13,38822","52,43737"
181,49842,Berlin,1,2019,3,13,2,3,2,6,0,0,1,0,0,0,0,0,"13,36902","52,54856"
182,49849,Berlin,7,2019,1,11,3,3,5,3,0,0,0,0,1,0,1,1,"13,37781","52,43381"
183,49855,Berlin,12,2019,2,8,4,3,5,2,0,1,0,0,0,0,1,0,"13,34766","52,5745"
184,49859,Berlin,4,2019,1,21,7,3,3,6,2,0,1,0,0,0,0,0,"13,27619","52,50974"
185,49862,Berlin,1,2019,1,15,5,3,3,6,0,0,1,0,0,0,0,0,"13,36862","52,50625"
186,49865,Berlin,3,2019,2,17,5,3,2,2,1,1,1,0,0,0,0,0,"13,41253","52,54096"
187,49874,Berlin,2,2019,2,14,6,3,5,3,0,1,1,0,0,0,0,0,"13,47351","52,5139"
188,49876,Berlin,1,2019,3,13,6,3,1,5,0,1,1,0,0,0,0,0,"13,36563","52,55618"
189,49880,Berlin,1,2019,2,19,4,2,6,4,2,0,1,1,0,0,0,0,"13,39519","52,51088"
190,49884,Berlin,4,2019,1,13,5,3,3,6,0,0,1,0,0,1,0,0,"13,28002","52,50051"
191,49890,Berlin,4,2019,2,6,2,3,2,6,1,0,1,0,0,0,0,1,"13,28293","52,52858"
192,49894,Berlin,4,2019,2,6,5,3,3,6,1,0,1,0,0,1,0,0,"13,28528","52,49486"
193,49898,Berlin,7,2019,1,20,2,3,6,2,2,0,1,1,0,0,0,1,"13,38436","52,45276"
194,49904,Berlin,2,2019,2,23,4,3,6,4,2,0,0,1,0,0,1,0,"13,4487","52,50519"
195,49909,Berlin,4,2019,1,15,4,3,2,6,0,0,1,0,0,0,0,1,"13,30921","52,53565"
196,49912,Berlin,9,2019,1,15,5,3,5,3,0,1,1,0,0,0,0,0,"13,47943","52,4845"
197,49915,Berlin,2,2019,2,15,3,3,3,6,0,1,1,0,0,0,0,0,"13,38779","52,49837"
198,49918,Berlin,12,2019,3,20,7,2,8,1,2,0,1,0,0,0,0,1,"13,31034","52,56344"
199,49926,Berlin,2,2019,1,16,5,2,6,4,1,0,1,1,0,0,0,0,"13,46587","52,51453"
200,49928,Berlin,3,2019,2,14,5,3,2,2,0,1,1,0,0,0,0,0,"13,39815","52,57118"
201,49932,Berlin,9,2019,2,16,3,3,6,4,0,0,1,1,0,0,0,0,"13,47946","52,48451"
202,49933,Berlin,2,2019,1,11,3,2,5,3,0,1,1,0,0,0,0,1,"13,45419","52,51559"
203,49937,Berlin,7,2019,1,11,3,2,6,4,0,0,1,1,0,0,0,0,"13,38885","52,43653"
204,49942,Berlin,6,2019,2,23,7,2,5,2,2,1,1,0,0,0,0,0,"13,1754","52,41997"
205,49951,Berlin,10,2019,2,8,5,3,2,6,0,0,1,0,0,0,0,0,"13,54071","52,50987"
